MAT.1.1	Sanqbof heu-aq, 
MAT.2.16	Khoernar-aq, aqyawf-aq, siqzaq ganryo deuq nae jaqmyawf bimyawf-euq nga laer Heqlor yasiq ngae, nuima paer duidui-eu mae. Aqyawf nae siqzaq ganryo deuq-anr narhaqduq taq-euq aryamq-anr sharsawx-awr, Baeqlaeqhaeq hawr-eu tanqghof tanqjawr-anr kharjawr-eu nyiq khof-euq lafov paw-euq aqli deuq-anr, tsawrhaq khaerghae-awr bi saefjir-euq mae. 
MAT.2.17	Heu-aq, Miqyaer gharduq ngaeqdan-eu Yeqlaqmir nae aertaq-euq dawq heudawq byanlar-euq mae:
MAT.2.19	Heqlor shirdzeur-awr, Yorsaev, Irjirtuv-anr jawrluf ngae, Sanqpaq Miqyaer-euq mqtav ghaqkhaer tiq ghaq, Yorsaev yufmav mav-eu lafkhoer dovle-awr heulof-aer aernaeq-euq mae, 
MAT.2.20	“Tur-awr, aqlizaq hawr-eu aqyawf-euq aqma sheuq-awr, Irsaqleqlav mirkhanq-anr ghofler-awq. Aqjeq mirnae aernar-aq, aqlizaq-anr saef-eu laer pov-eu ghaq shir-euq mae.”
MAT.2.21	Khoerngae, Yorsaev tur-awr, aqlizaq hawr-eu aqyawf-euq aqma sheuq-awr, Irsaqleqlav mirkhanq-anr ghofler-euq mae. 
MAT.2.22	Aerkhawf, Aqgeqlar, aqyawf-euq aqda Heqlor-euq dzoeqdzaq za-awr, Yurdav mirkhanq-anr uvlanr luf-eu garkawv Yorsaev yagaq-euq mirnae, khoergar maq ghofler peuq-a. Yufmav mav-eu lafkhoer, Miqyaer, aqyawf-anr par maeqnaeq-awr, Gaqliqlaer mirkhanq-anr jawrler-euq mae. 
MAT.2.23	Naqzaqlaer laer kur-eu meuq tiq meuq-anr lekeuv-awr, khoergar jawr-euq mae. Khoer-aq, Miqyaer gharduq ngaeqdan-eu tsawrhaq nae aertaq-euq dawq heudawq byanlar-euq mae, “Aqyawf-anr Naqzaqlaer tsawrhaq laer kur taef-a.”
MAT.3.1	Khoerngae yamq-anr, Bartirsaq mrnaeq-eu
MAT.3.2	“Noeqpov noeqpar-awq. Aqjeq mirnae aernar-aq, mqtav mirkhanq keuvle shaw-iq mae.” 
MAT.3.3	Miqyaer gharduq ngaeqdan-eu Irsaqyar nae aertaq-euq dawq heudawq-aq, Yorhaq-anr aerkeuv mawf-eu mae,
