MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
ROM.5.10	Amachuwbe inieng aarhumaa eensuwleching ama asapa ithie apaarna iniechuw Thangnhangtho imminteupeepe, imminteupeetaanaching amachuw ithi ing Thangpa ihangrhingching inieje engkarpeepe. 
ROM.5.11	Changgechuw hevehiepangmaaga, Thangpa Jesu Khrista apaarna inieng Thangnhangte rotharoh ing ongsanemie, ajiegachienche ama apaarna inieng ate aanteunachuw iphape.
ROM.5.12	Chotaanaching mi engkhelina isiicher athengtaana ithiechuw simriipaamna engkhejaarna lhuwhse, engkhejege ithiechuw isiicher atubekhelina enjaamse. 
ROM.5.13	Isiicherhie lolhiepaamna waajiir ttongtho athengmaalhiele aeheuwmbesaga, changgechuw waajiir ttongthoh auwmmaalhiele isiicherchuw ateemmaaga. 
ROM.5.14	Changgechuw ithieching Adamtena Mosi iphang eruwngkhangkhing paarse; Adam ing waajiir ttongtho enghaa isiicher atuhe taalinajega; Adamhiebe hungsuwvang ate Thangpa rothaga.
ROM.5.15	Changgechuw ngarhe ajipih kithurchuwbe isiicher atuhe ka alaarthoh enghaamaaga. Ajiegachiinche mi engkheching isiicher atuching mi enhim theniebe, Thangnhang lungsii engkhejege Jesu Khrista lungsiiching apih kithurchuw mi inhimtaalina ithiseh enlhiejorga. 
ROM.5.16	Engkhejege ngarhe kihthur lungsiihie mi enkheing isiicher atulina apih changchiemaaga, ajiegachienche isiicher atu engkhena waajiirching alaarchuw abebouga, changgechuw isiicher anhimtaana lungsii kihthurching dhormo icherteching aminchumpeega. 
ROM.5.17	Ajiegachiinche mi engkheing isiicher atutaana ithieching aapuw eensuwge, amanaching lungsii engkhejege dhormo icher kihthur isiikang aphaheching ama mi engkhe, Jesu Khrista apaarna irhingnaing avonhie ithiseh aapuw khangkhin paarvate.
ROM.5.18	Hanghing ichiin isiicher engkheching atutaana mibekhe isiicher abebouhkhangkhing, mi engkheing dhormo icher nong atu apaarna mibekhe erhing aminchumna lhamte ahinrhiega. 
ROM.5.19	Ajienachiinche mi engkheing ttong aminjiemaataana mi enhimpaa isiicher abesuwkhangkhin, engkheing ttong aminjietaana mi enhimpaa dhormo icher ahimbesuwpe. 
ROM.5.20	Changgechuw isiicher etu anhimnaing waajiir ttongthoje valhuwse; 
ROM.5.21	Changgechuw ithieching isiicher etu eruwngkhangkhing apaar taana, lungsiijeching Thangpa Jesu Khrista apaarna ittiim inemaa irhingna aphanaching dhormo icher apaarna eruwngkhangkhin apaarnaing isiicher inhim auwmta amhinna lungsiije ahinthipe.
ROM.6.1	Changgenieche ajie rhierteruw? Lungsiih anhimnaing inieng isiicher tujehmeniege ongvang aetega? 
ROM.6.2	Chovechuw suwhmaadeh resie! Isii cherna ithiebesa inieing amana ijehmeh isih ing paarvateruw? 
ROM.6.3	Khrista Jesu nhingte chii eluhbesa iniebekheing Thangpa ithienaching chii eluhga ichii hie nimminghuw maaga? 
ROM.6.4	Chonaching amapa athanglaar apaarna Khristaching ithiehekaartena aehangrhingtho enghaaing, inieje irhing itharteching isi achenaing, ithiete chii eluh khangkhin inieje amathoh inrhiesemie.
ROM.6.5	Ajiegachiinche inieng Thangpa ithietho enghaa amathoh enchum meniebe, ama ihangrhingtho enghaaing inie ouwngchumvateruw; 
ROM.6.6	Bechiitena isiicher maangcherniege, isiicherte isihpaaing mine aansuw namaang, itaalina beluw michuw Thangpatho enrhieing thingkherlina ithiehaagemie ichiehie eminghuwse. 
ROM.6.7	Ajienachiinche achuw chuwgejenie hanghing ithie eching isiichertena ningvesang aphaga. 
ROM.6.8	Changgechuw inieng Khristatho themeniebe, inieng amathoh enrhieing rhingwateruw atehie aethachaga; 
ROM.6.9	Ajiegachiinche ithietena ihangrhing Khrista avonhii themaanie, ithieching ataalina avonhii aapuw ouwngshuwmaanie atechuw eminghuwga. 
ROM.6.10	Thangpaing aerotumna thege ama ithieching isiicherte vokhepang ithiega, changgechuw ama ihangrhingching Thangnhang eentongte ihangrhinggemie. 
ROM.6.11	Khangkhing ichiing ninnuwjeng ninthienening isiicherte ithiegechuw, changgechuw Thangnhangte Khrista Jesu nhingna ihangrhing ing tenuung mindeensaruw.
ROM.6.12	Chonaching ninnuw ing isiicher atuna aadiehenong jieluing, thevang ichii humna isiicherching aapuwkhangkhing paarmaaresie; 
ROM.6.13	Engkhejege humna euwmbekhe abaaheching dhormo ichermaa nongtuna keele khangkhing isiicherte ipee minchinruw; changgechuw nintahraraachuw Thangnhangte ithiehekaartena irhinghe khangkhing, nintaalina iuwm humbekheching Thangnhangte dhormo icher nongtunaing minlhenruw. 
ROM.6.14	Ajienachiinche isii cherching nintaalina anong imintumaavang atega, ajiegachienche ninnuwhie waajiir ttongtho aderna aeongmaagechuw, changgechuw lungsii derna aeonggechuw.
ROM.6.15	Chogenieche ajiiga? Inieng waajiir ttongtho aderna ongluing lungsii derna aeongtaanaching isiicher nongchuw turivang aetega? Amachuwmaaresie. 
ROM.6.16	Ithie arhu isiichertena gejenie dhormo icher ahimbesuw ttong aminjiena gejenie, irhier aminjienaing nintaachin mine khangkhin nimpihdoh nhuwnabe, attongrhier nimminjie ama mineging ichii minghuwmaachuw? 
ROM.6.17	Mamenna ninnuw ing isiicher mine ouwngshuwchuwge amachin aeshuwrge iuwmgechuw; changgechuw ninnuw ing nimphasahlinaching Thangnhangchuw mimpaasaruw. 
ROM.6.18	Ninnuw ing humna uwmchuwge ninsurtahnaching humtena khangkhin ittongging. Ajienachiinche tumaavang ichie nong enthiingmaa engkhejege ichuwmaa mine khangkhin ninnuw ninghumbekhechuw nimpeedoh khangkhin, atebe enthiing aanshuwnaing dhormo icher mine khangkhin ninghumna aeuwmbekhechuw minlhenruw. 
ROM.6.19	Ninnuw ing humlina ninsur taana kieng ninnhingna tepantenakhangkhing ettongsaging. Ajiegachiinche ithiseh tumaavang ichii ninghumte pechuwge mine ouwngshuwchuwge ebourteching elhuwngseseh ichamaa nintutena, atebe ninghumching dhormo icherteching mine eenshuwruw.
ROM.6.20	Ajiena ate inche isiicher mine ningeenshuwle dhormo icher eentongtebe ningvesang ing aeoggeechuw. 
ROM.6.21	Chogenieche chalechinche ajii aanrah nimphase? ama nintulinaching ate ninning enjaamaa? 
ROM.6.22	Changgechuw atebe isiichertena ningvesangchuw phachuwge, Thangnhang mine imbesuwpeepe, enthiing lham ninjiina aanrah engkhejege ittiim inemaa irhingchuw nimphape. 
ROM.6.23	Ajienachiinche isiicher atu arotha minchuwbe ithiechuwga, changgechuw Thangnhang lungsii keethurchuwbe Thangpa Jesu Khrista nhingna ittiim inemaa irhingchuwga.
ROM.7.1	Keu kenehe, tepang ing arhinglebekhena waajiir ttongtho ching enchega ate nimminghuwmaaga? Waajiir ttongtho aminghuwhe nhingna ittongging. 
ROM.7.2	Ajiegachiinche apuwsar euwm nepenuw chuw irhing apuwsarnhingna waajiir ttongtho ching aphierga; changgechuw apuwsarchuw theniebe amaing apuwsartena waajiir ttongthohing aphierchuw abethinpeepe. 
ROM.7.3	Chogeniebe apuwsar ing arhingle lintaang pesar engkhete een vanieniebe amaing naamaa atuga. Changgechuw apuwsarchuw theniebe ama waajiir ttongtho dertena ningvesang aphape, changmaaniege lintaang pesar engkhete een vanieniebe ama naamaa atuga. 
ROM.7.4	Hanghing ichiing, keu kenehe, ninnuwng lintaang engkhe, ithiehekaartena ihangrhing Thangpa nhingna auwmnaing Khrista hum apaarna waajiir ttongtho lhamte aethiegechuw, amahin Thangnhang entongte aanra auwmnaga. 
ROM.7.5	Ajiegachiinche aenieng hum nongna aeongleching, ithiena alhamte aanrah aumnaing waajiir ttongthohching himbekhaage hum ing aadie hechuw ituga. 
ROM.7.6	Changgechuw ate changchieching emphierbekhechuw ithiegekhage waajiir ttongtho dertena embejohpeepe; chonaching ayenna beluw ahebejii nununa uwmluing chipi ithartechin inieng ongsateruw.
ROM.7.7	Chogenieche ajii rhierteruw? Waajiir ttongthohie isiicherga? Amachuwmaadehresie. Changgechuw waajiir ttongtho apaarna maageniebe isiicher ketuchuw minghuwmaavang ketega; “kaaraammaaruw” teniege waajiir ttongthohching rhiermaanieche kieng karaam nongchuw minghuwmaavang ketega. 
ROM.7.8	Changgechuw, isii cherching taancha ibeerge lintaang lintaang isiicher aadietechin waajiir ttongthoching humna kidie lhamte imvihnhuga; ajiegachienche waajiir ttongthohie uwmmaaniebe isiicher chuwbe ithiega. 
ROM.7.9	Engkhejege apha engkhena kie waajiir ttongtho emveluung irhingging, changgechuw heve ttongthohie athengtaanaching isiicherchuw rhingge kie ithieging; 
ROM.7.10	engkhejege rhingnavang ichii heve ttongtho raraaing kethihnate thengse. 
ROM.7.11	Ajiegachiinche isiicher ing taanchachuw phage, ttongtho apaarna iminchege amalina kiechuw enthepe. 
ROM.7.12	Chonaching waajiir ttongtho chuwbe enthiingga, bourmaase, engkhejege ttongtho jechuw enthiingga, ichumga engkhejege itthaga.
ROM.7.13	Chogenieche aettha amaching kenhingte ithiena ehungeensuwga? Amachuw eensuwmaaresie. Changgechuw isiicherchuwbe isii cherga ate amindangna aetthachuw minseenge kiechuw isiicherching athehnaing ituge kenhingte ithiechuw eensuwhse. Hevehie waajiir ttongtho isiicherching ithiseh isiicher ahintunaga.
ROM.7.14	Ajiegachiinche waajiir ttongtho chuwbe chipitenaga ate eminghuwse; changgechuw kieche humtenaging, isiicherte eenjuwrpe. 
ROM.7.15	Ajiegachiinche ketaa ketuchuw kieng minghuw maasing, ajiegachienche kieing tuning kete embetthohchuw ketaaing ketumaaga, changgechuw ichaama entersuwchuw ketu. 
ROM.7.16	Ate kieing tuning ketemaachuw ketaaing tuningche, waajiir ttongtho chuw aetthaga, teningbe waajiir ttongthohthoching ouwngrhugung. 
ROM.7.17	Chonaching ama ketuhie ateche ketaaing ketumaaga, changgechuw kesungna euwm isii cherching atuga. 
ROM.7.18	Ajiegachiinche kesungna aepaar aettha uwmmaase ate ketaaing keminghuwga. Kieng aetthachuw tugete ketenaa, changgechuw tuchemaang. 
ROM.7.19	Ajiegachiinche tuning kete aetthachuw ketaaing tumaang, changgechuw tuning ketemaa aetthamaachuw kieng ketujese. 
ROM.7.20	Ate kieing tuning ketemaachuw ketaaing tuning che, amajechuw kiemaaging; changgechuw kesungna euwm isii cherchingga.
ROM.7.21	Chogeniebe waajiir ttongthohchuw phaningge, ketaaing aettha tuning ketelina aetthamaatho enrhienung. 
ROM.7.22	Ajiegachiinche sungna aeong enhuw ijieng Thangnhang waajiir ttongthoteching kerotha rhohse; 
ROM.7.23	changgechuw kehumsungna lintaang ttongthohching kewaakharna kidie ttongtho lina raar ouwngtohege waajiir ttongtho isiicher kesungna irhingching isuwrge ouwngkhumga. 
ROM.7.24	Enturpah miging kiehie! Achuw ing humna ithie kiehie ikarpeewang atega? 
ROM.7.25	Thangpa Jesu Khrista apaarna getha ichiing Thangnhang kemimpaaga.
ROM.7.25	Chogenieche ketaaing kemindeenchuwbe Thangnhang waajiir ttongtho mineging ketega, changgechuw hum ing isiicher waajiir ttongthoh minechuw ouwngsuwsing.
ROM.8.1	Chonaching atebe Khrista Jesunhingna irhingheching emmaraar uwmmaase. 
ROM.8.2	Ajiegachiinche Khrista Jesunhingna irhing chipi tena waajiir ttongthohching isiicher ithiena waajiir ttongthotena ningvesang impeepe. 
ROM.8.3	Ajienachiinche hum ing aminsur waajiir ttongtho ching atu achemaachuw Thangnhang ing asapachuw isiicher aatupa khangkhing humna isiicherlina jibithinge, humna euwm isiicherchuw aminlaarpe. 
ROM.8.4	Amanaching hum ing aadie enhuw jieluing, chipi ing aadie inhuw ijii aenhingna waajiir ttongthoching arhierchuw alir asuwnaga. 
ROM.8.5	Ajienachiinche hum inhuw jiihege isiheching hum ing aadiechuw amindeenga, changgechuw Chipi inhuw ajieheching Chipi ing amindeenchuw aminjiega. 
ROM.8.6	Ajienachiinche hum ing amindeenchuw ithiechuwga, changgechuw Chipi ing amindeenchuwbe rhingrie engkhejege dejiim iuwmga. 
ROM.8.7	Ajienachiinche amindeen nongching Thangnhangchuw arhumaaga, choveching Thangnhang waajiir ttongtho sungna aeong ache maadehga, 
ROM.8.8	engkhejege humna iuwmjeh miheching Thangnhangchuw aning bethungmaahe.
ROM.8.9	Changgechuw ninnuwbe humna eongmaagechuw; Chipi Enthiingna irhinggechuw, ajiegachienche Thangnhang Chipichuw ninsungna ipaarga. Achuw engkheing Khrista Chipichuw asungna ongmaaniebe Khrista tamaaga. 
ROM.8.10	Changgechuw Khristaching nasungna ongniebe isiicher natutaana nahumchuw thejenie nachipichuwbe dhormo achertaana irhingga. 
ROM.8.11	Changgejenie Jesuchuw ithiehekaartena ihangrhing ama chipiching ninnhingna ongniebe, Khrista Jesuchuw ithiehekaartena ihangrhing Thangpaching ninsungna aeong achipi apaarna thehvang ichii ninghumje eminrhingpiwate.
ROM.8.12	Chogeniebe keukenehe, kesarhe, hum inhuw ijii ing rhingvang ichie humna ler iturmaaga; 
ROM.8.13	Ajiegachiinche ninnuw ing hum ing aadiena rhingtenuwbe thehvang nintega, changgechuw Chipi apaarna ninghum nongbekhechuw thehtenuwbe, rhingwangninte. 
ROM.8.14	Ajienachiinche Thangnhang Chipiching arhii mibekhechuw Thangnhang sitigehe. 
ROM.8.15	Ajiegachiinche ninnuw ing avonhie enttii suwh aansuwna chipi nimphamaaga, changgechuw ahinjuh asapa aansuwna chipi nimphape; chonaching inieng, “Abba! Epa!” Temiege euwnggemie. 
ROM.8.16	Enieng Thangnhang sitigemie aetehie ama Chipiching enie ichipithoh enrhiing saarkhie apiga. 
ROM.8.17	Engkhejege asitihechuw eensuwmeniebe aarii kuumpaje eensuwsemie; Thangpatho enrhiing enieje athang alaar aephasanaing, amathoh enrhiing ijachaam khaanghaameniebe Thangnhang iriikuumpa Thangpatho athanglaarchuw phasahwateruw.
ROM.8.18	Kieing atelena ijachaamhehie inhingna umphuwngvang ichie athang alaar thoh iminttimtahna ivehga ichiing kemindeenga. 
ROM.8.19	Ajiegachiinche Thangnhang ing asem pih irhingbekheing chiihaar khangkhing ahaa Thangnhang sitihechuw aamphuwngnachuw aehaaga. 
ROM.8.20	Ajienachiinche amaing asem irhingheching Kanamaavang ichii aderna eonghehie atah ataaing aadie tenamaaga, changgechuw atataa amindeenlina Thangnhang ing aderna asiihie Thangpa khunaga; 
ROM.8.21	Ajiegachiinche asembekhehechuw maangvang ichie minetena Thangnhang asitihe athang alaar ningvesangteching bethinpiwate. 
ROM.8.22	Ajiegachiinche asembesa pihbekheching atele phanang engkiihege nedoung auwmphana ijakhangkhing neh arin ijaphahege iuwmga ichii iminghuwse. 
ROM.8.23	Engkhejege amachuwjemaaga, changgechuw Chipita mensa aanraa apha iniejeching ihinjuh sapa, amachuwbe ehumchuw ingeetinpee amalina haajemiege isungna engkiimiege ongnemie. 
ROM.8.24	Ajiegachiinche atataa imindeenching engkarpeepe changgechuw atataaching mhuwmiege emindeenchuwmaaga, Ajiegachiinche amaing amhuwlina atataa amindeen asa uwmnekhang? 
ROM.8.25	Changgechuw inieing inchuwmaa rotumna atataa imindeen asa tumeniege enieng ama linaching khaangmiege aehaaga.
ROM.8.26	Khangkhing ichiin Chipijeching isurlina embumga; ajiegachienche enieng ajiekhang hinnhewang ete minghuwmaamie, changgechuw Chipi atararaaing aetaaing irhier ichemaa engkiimiege iuwm aerotumna ennhiipeega. 
ROM.8.27	Engkhejege aebelungriir aajong Thangnhang Chipi ing amindeen ajiega ichii aminghuwga, ajienachiinche Thangpaing Thangnhang ing amindeen enhuw ejiing enthiinghe rotumna anuwmpeega.
ROM.8.28	Thangnhang ing aning aminsiihenhingna, amaing amindeen enhuw ijiing aeenbesa henhingna atthaanabekhe rotum nongbekhe atuhaagehe ichii eminghuwse. 
ROM.8.29	Ajiegachiinche mensang aminghuw emmeniechuw asapa tho aanghaana mensang abethongbesaga, asapaching au aneh enhim kaarna amhuwr aberhing aansuwnaga. 
ROM.8.30	Engkhejege Thangnhang ing mensang abethongbesa emmeniechuw eenje aeenpe, aeenbesahechuw echumje aminchumpeepe, engkhejege aminchum henhingna amaing athang alaarje apeepe.
ROM.8.31	Chogenieche hevebekhe linahing ajiiche rhierteruw? Thangnhangchuw aerotumgeniebe achuw ing aetaalina ajii tuchevatekhang? 
ROM.8.32	Asaparahchuw menerluing inie rotumna hanghin impeedohga. Asapachuw ipeniebe amathoh enrhieng peebekhechuw ipemaaniekhang. 
ROM.8.33	Thangnhang ing aaturbesahechuw achuw ing lhinchewate khang? Aminchum bekhechuw Thangnhangga. 
ROM.8.34	Achuwche minlaarvang aetega? Ithiechuw Khrista Jesuga, engkhejege amabekhe ithii ing ithietena ihangrhing, Thangnhang atachangna ongge aerotumna ennhiipeega. 
ROM.8.35	Khrista ningsiitena iniechuw achuw ing imintthe chewatekhang? Ijachaamchinggemo, belung ijachinggemo, vinttaam chiihaarchinggemo, piendeer avehtaanachinggemo, ittiishuwching ingkhintaanagemo changmaanieche chimsiechinggemo? 
ROM.8.36	Hanghin bejiige aeuwmbesaga.
ROM.8.36	“Ajienachingche nang nakhuna kinnuwhie nekhechaa enthehe,
ROM.8.36	ithehphuw Zouhekhangkhing kinnuwchuw immindeenpehe.”
ROM.8.37	Maa! hanghing tekhangjenie hevebekhelina aning imminsii Thangpa apaarna inieng raar sah ichetahlina ichehhechuw enshuwsemie. 
ROM.8.38	Ajiegachiinche kieng kethachape, amachuwbe ithienagejenie, changmaanieche irhing, Thangven michierhe, lepaa aapuwheching, atele iuwm peebekhe, hungshuwvang atelina, atuche pirthanggejenie, engkaangpatena gejenie, 
ROM.8.39	Ouwngthuwpaa tenagejenie, enlah ache aeuwmbekejeng Thangpa Jesu Khristanhingna iuwm Thangnhang ningsiitena aeniechuw iminttheche maadehnie.
ROM.9.1	Kieng Khristanhingna atataachuw ittongging kieing amamaa kerhiermaaga, Chipi Enthiing apaarna kieng kitusaa ichum-ilaar aminghuwna kebelungriir ing chipina saarkhie apeese; 
ROM.9.2	kie kebelungriirna enhimpaa belung ijana engkhejege inchin arhumaa kenaana uwmning. 
ROM.9.3	Ajiegachiinche humna teningbe keyatihe, keu kenehe rotumna ketaaraa seraap kephanaing Khristatena entthe kieng chesavang ketega. 
ROM.9.4	Emmeniechuw Israelgehe, ahinjuh sitigehe, athang alaar, ttongneer bekhe, waajiir ttongtho aphahe, Thangnhang nong atuna engkhejege ttongneerbekhe entaga; 
ROM.9.5	Kimmapa kimmapuw hechuw entaga, engkhejege humlina Khristaje entaga; Thangpabe iuwmbekhe taalina aeuwm, ittiim inemaa mimpaavang ichii Thangnhangga. Amen.
ROM.9.6	Thangnhang ttonghie ajiidong achehmaa aetemaaga. Ajiegachiinche Israel mibekhehie atataa Israel hechuwmaaga, 
ROM.9.7	Engkhejege Abraham siti aansuw taanahe asitihechuw eenshuwcher maahe, changgechuw “Issaktena ehungsuw ching sitibaasien romhing narotumna rinvatehe.” 
ROM.9.8	Chonaching humtena sitiheching Thangnhang sitimaagehe, changgechuw ttongdeentena sitiheching sitibaasien gehe ichiin teemvate. 
ROM.9.9	Ajiegachiinche ttongdeenchuw hevehiega, “hangchie iniena kieng jungeenliningge Sarah ing asapa berhingvate.” 
ROM.9.10	Engkhejege hevepangmaaga, Rebekka nhingnaje isuwhga; amaing imapa Issak, apuwsar nhingtena neh rinvate. 
ROM.9.11	Ajiegachiinche emmeniechuw aberhingmaalhiele ajiekhangchie aettha changmaaniehe aechamaa eentumaalhiele aaturbesa enhuw ijieing Thangnhang amindeen aneernaing, amachuwbe nong etutenamaaga, Thangnhang aaturbesa ihungsinachuwga, 
ROM.9.12	Rebekka nhingna arhier, “Auwpaching anepachuw sepa tuvate. 
ROM.9.13	Hevehie abejiibesaga, “Jakobchuw kening keminsiipe, changgechuw Esauchuw keharpe.”
ROM.9.14	Chogenieche enieng ajieche rhierteruw? Thangnhang ing waajiir echummaa atuga? Amachuwmaaga! 
ROM.9.15	Ajiegachienche Mosi nhingna arhier,
ROM.9.15	“Kieng kening keminsiichuw kening minsiivanggie,
ROM.9.15	engkhejege kieng lungsii kepichuw,
ROM.9.15	lungsii pevanggie.”
ROM.9.16	Chogeniebe amaing tepang ing amindeentena maaga, changgechuw Thangnhangtena aminthie lungsiitenaga. 
ROM.9.17	Ajiegachiinche aettha ttongjiirching Pharoahnhingna arhier, “Kieng nanhingna pirthang kemindang naing, engkhejege keromhing simriipaamna aanjaamnaing, nanhingna kebesuwga.” 
ROM.9.18	Chonaching amaing amindeen nhingna aning aminsiiga, engkhejege amaing aaturhenhingna belungje aminchehga.
ROM.9.19	Chogenieche, nang ing kenhingna rhierteniege, “Ajietuna amang kemaraar ajongga? Ajiegachiinche amaing amindeenchuw achuw ing deerchewate?” 
ROM.9.20	Changgechuw tepang nang ing, Thangnhang taalina ittongchie nang achuwgechie? Aatubesapeehching aatupanhingna rhierniege, “ajietuna hanghin entugechie?” 
ROM.9.21	Beer asempaching inuungchuw viliege beer engnhie engkhechuw iluwpah nong rotumna engkhejege engkhechuw ileh nongrotumna asem chemakhang? 
ROM.9.22	Thangnhang ing abelung isiichuw minthiining teniege, engkhejege atuche pirthang aminghuwnaing atu pihlina maangvang atechuw khaangpige; 
ROM.9.23	engkhejege athang alaar asawang rotumna mensang abethongbesa lungsii abeerna, amachuwbe– 
ROM.9.24	inieje imimvesage eengeenpe, hevehie, Jehudihepangmaaga changgechuw lintaang yaatihe jemaakhang? 
ROM.9.25	Amaing Hosea leriinaje arhier,
ROM.9.25	“Kemi eensuwmaalhiehechuw kemiga tevanggii,
ROM.9.25	engkhejege kening keminsiimaa nepenuw chuw kening ke minsiigah tevanggii.
ROM.9.26	Engkhejege ningnuw hii kemimagechuw tege emmenii mhinna ahrier,
ROM.9.26	na emmenie chuw ihring thanghnang sitiga tevanggii.
ROM.9.27	Engkhejege Isaiah ing Israelhe khuna uwngge arhier, “Israel sitiheching rimchie siiphiena aeuwm siih khangkhing nhimjenie, abelhiehepangchuw karpivate. 
ROM.9.28	Ajiegachiinche Thangnhang ing simriipaam ing engrang ing entubekhe nong waajiirhie betthowate.” 
ROM.9.29	Isaiah ing enhuwte suwhvang ate amindang,
ROM.9.29	“Thangnnang ing asieng tepii minrhingmaniebe inieje Sodom engkhejege Gomorrah khangkhin iminghaavang atega.”
ROM.9.30	Chonaching inieng ajii rhierteruw? Dhormo icher lham ajongmaa yaati lintaanheching dhormo icher lhamchuw enthachaching aphapehe; 
ROM.9.31	changgechuw dhormo icher lham aajong Israelhechin waajiir ttongtho lina ching alir suwchemaasehe, 
ROM.9.32	ajietunaching? Emmenieng enthacha enhuw ijieng amachuw jongmaahe, changgechuw nonglina amindanghe. Emmenieing khihminsiena lhunglina engkhi aminsiepehe 
ROM.9.33	hanghing abejiibesaga,
ROM.9.33	“Ebeerruw Zionna khi minsiena lhung engkhejege itiehna lhungpuw kesiihse;
ROM.9.33	engkhejege achuw engkheing anhingna thachaniebe ningjaa mimphamaaning.”
ROM.10.1	Keu kene amana kesarhe, Emmenieng ikarpi aphanaing kebelungriirna kidie engkhejege enrotumna kehinthamsaaga. 
ROM.10.2	Kieing kerhierchena chuwbe emmenieing Thangnhangte embelung elhuwsagehe, changgechuw imminghuw taalinamaaga ichiin kieng saarkhie kepeega. 
ROM.10.3	Ajiegachiinche Thangnhangtena itheng dhormo icher thosamaahege, emmenieng entaasaa atuhelina jonghege Thangnhang dhormo icherte belung pemaasehe. 
ROM.10.4	Ajiegachiinche Khristabe mi bekhena dhormo icher ahungeensuwnaing waajiir ttongtho attuhnaga.
ROM.10.5	Waajiir ttongthohing arhu enhuw ijieng dhormo icher nong atuheching ama apaarna rhingvatehe tege Mosi ing abejiibesaga. 
ROM.10.6	Changgechuw athachana ihungsuw dhormo icherching arhier, “nabelungriirna rhiermaa, ‘achuw ing Thangvente karvate?’ ” (Amachuwbe Khristachuw ajimbetthuwmgehe.) 
ROM.10.7	Changmaanieche, “achuwche longkongte jungbovate?” (amachuwbe Khristachuw aethie hekaartena aminghringga.) 
ROM.10.8	Chogenieche amaching ajii arhier?
ROM.10.8	“Ttongchuw naboumna, nanherna engkhejege nabelungriirna uwmne.”
ROM.10.8	Amachuwbe, nathachalina naminjaam ttongchuwga. 
ROM.10.9	Ajiegachiinche nang ing nanherching Thangpa Jesuga teteniege engkhejege nabelungriirna thachateniege Thangnhang ing ithietena aminrhingpe teteniebe ikarpiwate. 
ROM.10.10	Ajiegachiinche miching dhormo icher aphanaing abelungrierna athachaga, engkhejege isiichertena aminlennaing anher ing aphuwngga. 
ROM.10.11	Aettha ttongjiir ing arhier, “Thangpachuw athacha mibekhechuw ningjaa pemaanie.” 
ROM.10.12	Ajiegachinche, Jehudinemaa Greek he nemaa aantthiirna uwmmaa; mibekhena Thangpachuw engkhepangga, engkhejege Thangpachuw aeen mibekhena adeenbekhe apeechehga. 
ROM.10.13	Ajiegachiinche, “Thangpa romhing aeenhechuw karpivate.”
ROM.10.14	Chogenieche emmenieng enthachamaa Thangpachuw ajiekhang eenwatehe? Engkhejege ttong aminjaam uwmmaanieche ajiekhang thievatehe? 
ROM.10.15	Engkhejege ennhingna vibethinpimaamenieche ajiekhang ttong minjaamvatehe? Hanghing abejiibesaga, “Rotharhohna aettha ttongjiir ahinrinhe akhi hechuw ijehmeh itthagehe!” 
ROM.10.16	Changgechuw, emmenieheching aettha ttongjiirchuw rongemaahe. Ajiegachiinche Isaiah ing arhier, “Thangpa, kinttongjiirhie achuw ing thachavatehe?” 
ROM.10.17	Chonaching, ttongjiirchuw aethietaanaheching aethachachuw ithengga, engkhejege Khrista ttong apaarna enieng ithie ichega.
ROM.10.18	Changgechuw kieng rhierningge, emmenieng athiebesamaagehe? Uwng, atataa athiebesagehe; Ajienachiinche
ROM.10.18	“engngeerurchuw simriipaam bekhena vasise,
ROM.10.18	engkhejege emmenie enttongchuw simriipaam attuhnaphanang enjaamse.”
ROM.10.19	Avonhie kieng kesiehe, Israelheching aminghuwmaagehena? mensang Mosi ing arhier,
ROM.10.19	“yaati ouwngsuwmaahe talina belungrier kallaa asuwnaing tuvanggete;
ROM.10.19	Inhuwr yaatihe talina belung isii besuwhwanggete.”
ROM.10.20	Engkhejege Isaiah ing thona itthapaang arhier,
ROM.10.20	“Kie enjongmaaheching ouwngteupehe,
ROM.10.20	kenhingna ennhii maaheching kieng keminthie pehe.”
ROM.10.21	Changgechuw Israelhe nhingna amaing arhier, “kettongrhier aminjiemaa engkhejege ouwngrhumaahe yaatihe engtongte kieng inie nekhe kekih kithope.”
ROM.11.1	Kieing kerhier, Thangnhang ing amihechuw alhingehena? Ajiegachiinche kieje Israelhe mi, Abrahamtena ehungsuw Benjamin sungkhorging. 
ROM.11.2	Thangnhang ing ayen aminhuwbesa amihechuw lhinmaadeh. Changmaanieche Elijah khulina aettha ttongjiir ing ajie arhierga minghuwmaachuw? Amachuwbe amaing Israelhelina Thangnhangte anhiisa, 
ROM.11.3	“Thangnhang, nattong aminjaam Laarchangpahechuw emmenieng athehpehe, emmenieng hebekoung amhinbekhe abekhiipehe, engkhejege, kethienening emmapehe, engkhejege emmenieng kechipi ajongnaahe.” 
ROM.11.4	Changgechuw anhingna Thangnhang abesangching ajie arhierga? “Baalnhingna ingkhiruwkhuw aphinmaahe mi chiing sarii kerotumna ketthihse. 
ROM.11.5	Khangkhin ichiing ateleje lungsiilina aateur enhuw ijieng abelhie aruh uwmne. 
ROM.11.6	Changgechuw hevehie lungsii apaarna isuwgenieche anonglina ihungsuwmaaga, amaamaanieche lungsiichuw avonhie lungsii ouwngsuwmaase. 
ROM.11.7	Chogenieche ajiega? Israelheching ajonghechuw teuhmaasehe; changgechuw aatourbesaheching aphapehe, engkhejege abelhieheching embelungriir persehe; 
