MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.3.7	Changgechuw Pharisi hele Saddusi he enhimpaa ing chiiluh rotumna etheng hechuw amhuwtaana ama ing ennhingna arhier, “Beruwr chiireen ninnuw, achuw ing ninnuw chuw hungsuwang ate belung esii tena tenruw tege arhierga? 
MAT.3.8	Belungrier inte amindangcheh aanraa chin enraruw. 
MAT.3.9	Engkhejege kinnuwbe kimmapa Abraham oumne tevang Kinte temaaruw, ajiena ate inche kie ing ninnhingna kerhiernaa, amachuwbe Thangnnhang ing heve lhung hehie Abraham chiireen abesuw chese. 
MAT.3.10	Ateleje thingbourhe rojungna chin rhii chuhne, changtaana ching aanra aettha enramaa thingbour bekhe chuw aphuwrna engkhejege mhi shungte athaana. 
MAT.3.11	Kieing ninnuw chuw belungrier mintena rotum chii keluh gechuw, changgechuw keenhuwna ejuwng ama chuwbe kie chungna beteh lhaane, kiebe akhikum eshii phanang rovaar mang, ama ing ninnuwchuw enthieng Chipina engkhejege mhina eluh vate. 
MAT.3.12	Ajaangya chuw akeena oumne, engkhejege ama ing ashee thii chuw minthiing niege Gehu chuw aetumte buwm vate, Changgechuw shaariisie chuwbe ama ing ettiim enema mhi shungte buwm vate.”
MAT.3.13	Chona Jesu ing Johon nhingna chii enlu gete tege Galile tena Jordon te huwngse. 
MAT.3.14	Changgechuw Johon ing ama chuw hedurge arhier “kii gelha chuw nang ing chii elu vang natechin nang kenhingte etheng gechie?”
MAT.3.15	Jesu ing anhingte abesang, “atelebe hangthaa resii, ajiena ate inche hanghin ichiin Dharmo echer nong aangkheng atungna rotum enieing etuhie angene.” amajing arhuwpe.
MAT.3.16	Engkhejege Jesu chuw chii enluge ahungsuw tho ebierruw, Thangven chuw enlangse, engkhejege Thangnhang Chipi ching Vatthuw khangkhin ichiin jottumge ataalina echuw chuw ama amhuw. 
MAT.3.17	Engkhejege, ebierruw, Thangven tena eruwr engkhe ing arhier, “Hevehii kening aminsiepah kesapaga, anhingna kening chimpaahne.”
MAT.4.1	Anhuwna Saitaan ing abetheem na rotum Jesu chuw Chipi ing Ramkang te arhiepe. 
MAT.4.2	Engkhejege amaing asiim summinlie le ajen summinlie vinttaam atong, engkhejege aanhuwna ama avin ettam. 
MAT.4.3	Engkhejege aantheem ching vage anhingna arhier, nanghie Thangnhang sapa geteniibe heve lhunghe nhingna tan ensuwh ruwteing rhier.
MAT.4.4	Changgechuw ama ing abesang, “heve hii enjiise, Tanpanging mi rhingmaanie, Changgechuw Thangnhang nhertena ejungsuw jelha bekhe ching rhingvate.”
MAT.4.5	Chona Seitaan chin amachuw enthieng kurnung te chin rhiege Thangnhang rumna een phethung taalina amengong, 
MAT.4.6	engkhejege anhingna arhier, “nanghie Thangnhang sapa Keteniibe aderte juwngkhuwng,
MAT.4.6	ajiena ate inche hanghin enjiige oumne,
MAT.4.6	ama ing narotumna Thangven michier he jichier vate.
MAT.4.6	Engkhejege lhung taalina nakhi naminvar namang emmenie ing nangchuw engkee taalina eethoh vatehe.”
MAT.4.7	Jesu ing anhingna arhier, “Hanghin vonu enjiine, nang ing Thangpa nathangnhang chuw minseem maavang natega.”
MAT.4.8	Vonuh Seitaan ching ama chuw ingkaang pah boungte arhiepe, engkhejege Simrii Eruwng ongna lepaa aangkheng engkhejege enthang enlaar bekhe chuw anhingna aminthii. 
MAT.4.9	engkhejege anhingna arhier “nang ing tiih teniege kie chuw erum teniebe kie ing heve aangkheng hie nanhingna pevang gechie.”
MAT.4.10	Chona Jesu ing anhingna arhier, “ongmaa ten Seitaan! Ajiina ate inche hevehie enjiine, nang ing Thangpa nathangnhang chuw rumvang natega, engkhejege amapang chuw adur lievang natega!”
MAT.4.11	Chona chin Seitaan ching ama chuw abethinpe, engkhejege ebierruw Thangven michier he ching juwnghege Jesu chuw abum pehe.
MAT.4.12	Ate Johon chuw ashuwr pehe ichii athietaana ama ing Galili shungte empeemse. 
MAT.4.13	Engkhejege ama ing Nazareth bethin ge Zabulun le Naphtali ram Rimchii kurna eoum Kapernauwm te sige paarse. 
MAT.4.14	Heve hii Isaiah Laarchangpa ing aherhier chuw tungresii ate taanaga,
MAT.4.15	“Zebulun ram engkhejege Naphtali ram,
MAT.4.15	rimchie entongte,
MAT.4.15	Jordon raarna, leentaang yati heta Galili!
MAT.4.16	Enthim na aeong mihe ching elhungpaa Lengwaar ingkhe emmhuwpe,
MAT.4.16	engkhejege ethii deliim paam na aeong he rotum Lengwaar chuw thengse.”
MAT.4.17	Chove apha nachin betthiimge, “belungrier minteruw, ajiena ate inche Thangven Eruwng lepaa chuw enheengse,” tege Jesu ing ejeer abetthiimpe.
MAT.4.18	Ama ing Galili rimchie kurna asile Piter ate Simon le anepa Andrew emmenie uwne ennhii hing rimchii shungte echaah endeeng chuw amhu; ajiena ate inche emmenie chuw ngasuwrgehe. 
MAT.4.19	Engkhejege ama ing ennhingna arhier, “keenhuw jiiruw engkhejege kieing ninnuw chuw misuwr minsuw vang gechuw.” 
MAT.4.20	Aniekungna emmenie ing ingeechaah bethin hege aanhuw enjiipe.
MAT.4.21	Engkhejege chove mhintena ahungsile Ama ing leentaang uwne ennhiihe, Zebedee sapa Jakob le anepa Johon, emmapa Zebedee tho rukuwng shungna ingeechaah iphie hege eong hechuw amhuw, engkhejege ama ing emmenie chuw aeen. 
MAT.4.22	Aniekungna emmenieing rukuwng le emmapa chuw mahege Ama aanhuw chuw enjiipehe.
MAT.4.23	Engkhejege Ama ing Galili ehurge, engkhuwngsang shungna aminchuw he, engkhejege Eruwng lepaa khuwna aettha ttong chuw ajeer, engkhejege mihe karna lena areen bekhe le Isur emhang apum amindam. 
MAT.4.24	Changchin ichiin athang chuw Siria itungdeh ing enjaamse, engkhejege emmenie ing ina ikie, Lena ajeing amenang, Ronham ing asa, Rongor adeen engkhejege Shuwr ing aki, bekhe chuw anhingte emvirhie engkhejege Ama ing emmenie chuw amindam. 
MAT.4.25	Engkhejege, Galili tena, Dekapoli tena, Jerusalem le Judia tena, engkhejege Jordon rartena miruwpuw ayeing aanhuw ajiihe.
MAT.5.1	Mi ruhpuw chuw amhutaana Ama ing boungte ehangkar, engkhejege Ama ing aongleching asepho heching anhingte ahimpuw, 
MAT.5.2	Engkhejege Ama ing emmeniechuw minchuwge arhier:
MAT.5.3	“Chipina entur hechuw enshii tthane,
MAT.5.3	ajiena ate inche Thangven
MAT.5.3	Eruwng lepaa chuw emmenie taga!
MAT.5.4	Havi endeen hechuw enshii tthane,
MAT.5.4	ajiena ate inche Thangnhang ing emvaang minlum vate.
MAT.5.5	Belungrier eduur hechuw enshii tthane,
MAT.5.5	ajiena ate inche emmenie ing Lolhiipaam aerii chuw kumvatehe!
MAT.5.6	Dharmo echer rotumna winttaam chiihaar atong emmenie chuw enshii tthane,
MAT.5.6	ajiena ate inche emmenie chuw mimvapi vatehe!
MAT.5.7	Ningsie ehe emmenie chuw enshii tthane,
