GEN.5.10	E noo iorā Enosa i muri ake i tana anau anga ia Kainana ra, e varu akera anere, okotai ngauru, e rima ara te mataiti; e anau iora oki te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.11	E to Enosa au rā katoa, e iva ïa anere, e rima ara te mataiti: e mate iora aia.
GEN.5.13	E noo iorā Kainana i muri ake i tana anau anga ia 
GEN.5.14	E to Kainana au rā katoa, e iva ïa anere, okotai ngauru te mataiti: e mate iora aia.
GEN.5.16	E noo iorā 
GEN.5.17	E to 
GEN.5.19	E noo iorā Iareda i muri ake i tana anau anga ia Enoka, e varu akera anere te mataiti, e anau iora te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.20	E to Iareda au rā katoa, e iva ïa anere, e ono ngauru, e rua ara te mataiti: e mate iora aia.
GEN.5.22	E kua aaere iorā Enoka raua ko te Atua i muri ake i tana anau anga ia Metusela ra, e toru akera anere te mataiti, e anau akera oki te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.23	E to Enoka au rā katoa, e toru ïa anere, e ono ngauru anga, e rima ara te mataiti: 
GEN.5.24	E kua aaere oki a Enoka raua ko te Atua; e kare ra aia; kua apai keia oki aia e te Atua ra.
GEN.5.26	E noo iorā Metusela i muri ake i tana anau anga ia Lameka ra, e itu akera anere, e varu ngauru, e rua ara te mataiti; e anau akera oki te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.27	E to Metusela au rā katoa, e iva ïa anere, e ono ngauru, e iva ara te mataiti: e mate iora aia.
GEN.5.29	E tapa iora aia i tona ingoa ko 
GEN.5.30	E noo iorā Lameka i muri ake i tana anau anga ia Noa ra, e rima akera anere, e iva ngauru, e rima ara te mataiti, e anau akera oki te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.31	E to Lameka au rā katoa, e itu ïa anere, e itu ngauru, e itu ara te mataiti: e mate iora aia.
GEN.6.1	E 
GEN.6.2	Kua akara akera te tamariki a te Atua ra i te au tamaine a te tangata nei, e te purotu ra; 
GEN.6.3	E kua tuatua mairā Iehova, Kare rava 
GEN.6.4	E aronga toa uritumu tei te enua nei i taua tuatau ra; e muri akera, kia rave te tamariki a te Atua i te au tamaine a te tangata ra, anau akera ta ratou 
GEN.6.5	E kite akerā Iehova, e kino maata to te tangata i te enua nei, e kua kino anake te au 
GEN.6.6	Kua 
GEN.6.7	Kua tuatua akerā Iehova, E akapou au i te tangata i angaia e au i runga i te enua nei; ko te tangata, e te au puaka katoa, e te au mea totoro ra, e te au manu o te reva; kua tataraara oki au, ko au i anga ia ratou. 
GEN.6.8	Karekā Noa, i kite aroaia mai aia e Iehova ra.
GEN.6.9	Teia te tuatua ia Noa ra. 
GEN.6.10	Toko toru a Noa tamariki tamaroa i anau, ko 
GEN.6.11	Kua kino roa ra te enua i 
GEN.6.12	E kua 
GEN.6.13	E kua tuatua maira te Atua ia Noa, 
GEN.6.14	Ka tarai koe i tetai araka noou, ei 
GEN.6.15	Teia tona 
GEN.6.16	Ei māramārama 
GEN.6.17	I na oki! teia au ka apai mai i te vai 
GEN.6.18	E akatinamou ra au i taku koreromotu kia koe; 
GEN.6.19	E te au mea ora katoa o nga mea ravarai, 
GEN.6.20	Ko te au manu i to ratou tu tikai, e te au puaka i to ratou tu tikai, e te au mea totoro ki runga i te enua nei i to ratou tu tikai, 
GEN.6.21	E tenana, e rave koe i te au kai katoa i keingaia nei, e akaputuputu marie kia koe ra; ei kai naau, e na ratou katoa ra. 
GEN.6.22	Kua pera oki a Noa; 
GEN.7.2	To te au puaka 
GEN.7.3	To te au manu o te reva ra, e tataki itu katoa ïa, ko te toa e te ua; kia ora 
GEN.7.4	E itu po toe, e akatopa mai ei au i te ua ki runga i te enua nei, 
GEN.7.5	E kua pera oki a Noa i te au mea katoa ta Iehova i akaue mai iaia ra.
GEN.7.7	Kua tomo aturā Noa, e tana au tamariki, e tana vaine, e te au vaine katoa a nga tamariki nana ra, ki roto i te araka, no taua vai diluvi ra. 
GEN.7.8	 to te au puaka viivii kore, e te au puaka viivii, e to te au manu, e te au mea katoa e totoro aere ki runga i te enua nei, 
GEN.7.9	Kua tataki rua anake ia i te aere kia Noa, ki roto i te araka, ko te toa e te ua, i ta te Atua i akaue ia Noa ra.
GEN.7.10	E tae akera ki te po itu ra, ko te vai diluvi maira ïa ki runga i te enua. 
GEN.7.11	I te ono o te anere anga o to Noa mataiti i te ora anga, i te rua o te marama, e te ngauru ma itu o te po i taua marama ra, tei taua po tikai ra, ko te ngaangaa anga ïa o te au 
GEN.7.12	E topa iora te ua ki runga i te enua nei, e a akera ngauru anga o te po, e a oki ngauru anga o te ao. 
GEN.7.13	Tei taua rā tikai ra to Noa, e nga tamariki a Noa, ko Sema, ko Hama, e ko Iapheta, e te vaine a Noa, e te au vaine katoa toko toru a nga tamariki a Noa ra, 
GEN.7.14	Ko ratou, e te au manu taae katoa i to ratou tu tikai, e te au puaka katoa i to ratou tu tikai, e te au mea totoro katoa e totoro aere ua ki runga i te enua nei i to ratou tu tikai, e te au manu katoa, e nga mea peau katoa i to ratou tu tikai. 
GEN.7.15	Tataki rua atura to te au mea ora ravarai e uti i te aʼo ra, i te 
GEN.7.16	E ko taua au mea i aere ki roto ra, 
GEN.7.18	E ririnui roa maira taua vai ra, e maata rava maira ki runga i te enua nei: 
GEN.7.19	E ririnui maata roa maira oki te vai ki rungao i te enua nei; ngaromia iora te 
GEN.7.20	Teitei roa atura te vai i runga ake i te au maunga i ngaromia ra, e okotai ngauru ma rima i te kubiti. 
GEN.7.21	E ope takiri roa akera te au mea ora katoa i keukeu aere i runga i te enua nei i te mate, te au manu, e te puaka, e te manu taae, e te au mea totoro katoa e totoro aere ua ki runga i te enua nei, e te tangata katoa: 
GEN.7.22	Ko te au mea ora katoa 
GEN.7.23	Kua pou takiri rava te au mea ora katoa i runga i te enua ra, ko te tangata, e te puaka, e te au mea totoro, e te manu o te reva nei; e pou takiri rava akera ïa i runga i te enua nei: 
GEN.7.24	E 
GEN.8.1	E TE 
GEN.8.2	Momaniia iora te au tumu o te moana, e te au ngutupa o te rangi ra, e 
GEN.8.3	E roroma marie atura taua vai ra i runga i te enua, kare i tivata: 
GEN.8.4	E tae atura ki te itu o te marama, e te po okotai ngauru ma itu i taua marama ra, kua iri iora taua araka ra ki runga i te maunga ra i Ararata. 
GEN.8.5	Te roroma ua ra te vai e tae rava akera ki te ngauru o te marama ra, kare i tivata; e kitea iora te take maunga i te 
GEN.8.6	E ope roa akera oki te au po e a ngauru ra, kua kiriti akerā Noa 
GEN.8.7	E kua tuku aia i tetai orebi, ko tei rere atu e kua rere mai, e papa-maro roa akera te vai i runga i te enua nei. 
GEN.8.8	Kua tuku atura oki aia i tetai kukupa, kia kitea te kore anga o te vai i rungao i te enua; 
