MAT.4.4	Odo Bv luto, scmpc adla lc:tag, “Tani:yc pitangongkokki turra du:ma:yc, cmpige:la Ru:ncpvnckolokkc lennc gomug appv:dokkipak turdag.”
MAT.4.5	Odokkc uidc Bvm angunnc nogordo:pc gvbokang, odokkc Bvm Ru:ncmc kumko okumdok mv:dum taycngarto tedmoto, 
MAT.4.6	odokkc Bvm luto, “No Ru:ncpvnckc Awwomvlo, avc kcvgbo:pc opakletsukvka; kapila:nc scmpc cdcm adtag,
MAT.4.6	‘Bv Bvk taycng among lutad lunckvdv:dcm nok lcgangc mclvgyc,’ odokkc
MAT.4.6	‘Buluk alakki bulu nom bosa:yc,
MAT.4.6	Ckvma:mvlo nok alckvdv:dc vlvngkolo tubsuyc.’ ”
MAT.4.7	Jisubv bvm luto, “Scmpcsin adtung, ‘Nok Ru:tum Ru:ncpvncmc anka:la ka:yoka.’ ”
MAT.4.8	Lckoda uidc Bvm aipakpc oudnc adi:kolo:pc gvbokang, odokkc mo:pvsok migom dobonam among appv:dcm odokkc odokbuluk airu:pc kanamsv:namkvdv:dcm lcngkanto; 
MAT.4.9	odokkc bv Bvm luto, “Sc appv:scm nom ngo biyc, no tunga:la ngom kummvlo.” 
MAT.4.10	Odo Jisubv Bvm luto, “Gc:rkang, Uiya! Kapila:nc scmpc adtag,
MAT.4.10	‘Nok Ru:ncpvncmc kumnang odokkc
MAT.4.10	Bvk lcgangong mc:tomna agercm gerrang.’ ”
MAT.4.11	Odo uidc Bvm mcpakto odokkc ka:toka taycng among lutad lunckvdv:dc gva:la Bvm ka:sv:mosv:to.
MAT.4.12	Cdcmpc idodcm Jo:nmc ycnggabto cmna Bv tadto, Bv Galilpc gvpakto; 
MAT.4.13	odokkc Najaretdcm mcge:la Kapernaumpc gvto odokkc siycng ru:yido du:to Jubulun odokkc Naptali:, dunggo:-ycgo:do, 
MAT.4.14	jc Isaia: lungor luncbv okodcm luno:taganc cdcmpc idopc:
MAT.4.15	Jubulunclang Naptali: amongc, Siycng aninkvdvngc,
MAT.4.15	Jordan kekonpc, Angu tani:
MAT.4.15	opvnkvdv:dok Galil–
MAT.4.16	Oko tani:kvdv:dc kcmolo tedla dunganc bottaru:nc pvangko ka:begto,
MAT.4.16	Odokkc sc:kobulu sinckvdv:dok amo:lo odokkc siko ugyumlo
MAT.4.16	tedla dunganc, pvangc pvkang.
MAT.4.17	Odo ayirdokkc Jisubv lutadcm luyirrobbomkang, scmpc lula, “Asinc mc:dvrra mcngkutsutokuka, kapila:nc taycngamong migom dokodc pvnga:dandubong.”
MAT.4.18	Galil siycng ru:yido Bv gvgo:la du:dom, Bv bvrokumsu anyiko ka:begto, Simonmc sc:kom Pitorcsin cmna gogdagaji odokkc Andriwumc bvk bvrodcm, csab aborko siycngdo crra du:dom; kapila:nc bulu csab crnai. 
MAT.4.19	Odokkc Bv bulum luto, “Ngok lcdulo gvmvntoka, ngo nolum tani: crgabnc csab crncpc imoyc.” 
MAT.4.20	Oddung bulu csabkvdv:dcm mcto odokkc Bvk lcdulo gvmvnkang.
MAT.4.21	Odokkc gvtvla du:namc Bv bvrokumsu anyikoda ka:begto, Jebidi:kc awo Jakobmc odokkc bvk bvro Jo:nmc, buluk abu Jebidi:kc lcdulo ollungkolo, csab posv:la du:dopc, odokkc Bv bulum gogto. 
MAT.4.22	Oddung lomdanna bulu ollu:dcm odokkc buluk abudcm mcge:la Bvk lcdulo gvmvnkang.
MAT.4.23	Odokkc Bv Galil among appv:do gvgo:to, buluk kumko okumkvdv:do Ru:ncpvnckc taycngamong migom donamdok tadponc lutaddcm lugo:bito odokkc tani:kvdv:dok appvng Kinam ramnamcm odokkc appvng mosimola:ma:namcm aimotoku. 
MAT.4.24	Cdcmpila Bvk aminc Siria amo:do gvbungkang, odokkc bulu kinc-ramnc tani: appv:dcm bvkkolo:pc gvangamboto, sc:kobulu angu angu kinamc kadagaji odokkc dvgnamc, uipa:namc, simadc maddaganc, odokkc intungko sipaknckvdv:dcm, Bv csangammotoku. 
MAT.4.25	Odokkc bojcrungko yadkumsunc tani:yc Bvk lcdu lcdulo Galildokkc Dikapoli:dokkc Jerusalem dokkc Judiadokkc odokkc Jordan kekondokkcsin gvmvnkang.
MAT.5.1	Yadkumsunc tani:kvdv:dcm ka:la, Bv adi: tayc:do:pc re:sa:to, odokkc Bv teda:nammc Bvk agom tadjvgla gvmvnnc tani: kvdv:dc Bvkkodo:pc gva:to. 
MAT.5.2	Odokkc Bv bulum agompc lula luyirbomkang, scmpc lula:
MAT.5.3	“Asinbo opanc cmna mc:sunckvdv:dc aipc luitpcnamc,
MAT.5.3	kapila:nc Ru:ncpvnckc dungko taycngamo:dc bulukkc.
MAT.5.4	“Mc:dvrra du:nckvdv:dc aipc luitpcnamc,
MAT.5.4	kapila:nc bulum mc:pomoycku.
MAT.5.5	“Ansv:nc asinang gcnckvdv:dc aipc luitpcnamc,
MAT.5.5	kapila:nc bulu tani: rcngamscm dunggc daggcbomyc.
MAT.5.6	“Ru:ncpvnckc agomdcmpc inam gvnam lcgangc
MAT.5.6	kcno:nc odokkc tv:lv:nckvdv:dc,
MAT.5.6	aipc luitpcnamc,
MAT.5.6	kapila:nc bulu dotvng tv:tvngyc.
MAT.5.7	“Ayangabonc kvdv:dc aipc luitpcnamc,
MAT.5.7	kapila:nc bulu ayangcm pa:yc.
MAT.5.8	“Narc:nc asin gcnc kvdv:dc aipc luitpcnamc,
MAT.5.8	kapila:nc bulu Ru:ncpvncmc ka:begyc.
MAT.5.9	“Lckomokunc kvdv:dc aipc luitpcnamc,
MAT.5.9	kapila:nc bulum Ru:ncpvnckc aowangc cmna gogycku.
MAT.5.10	“Ru:ncpvnckc agomdcmpc
MAT.5.10	inam gvnam lcgangc
MAT.5.10	sc:kobulum ipusire:tagnc bulu aipc luitpcnamc,
MAT.5.10	kapila:nc Ru:ncpvnckc
MAT.5.10	taycngamong migom dokodc bulukkc.
MAT.5.11	“Nolum aipc luitpcnamc cdclo tani:kvdvngc nolum ngok lcgangc luka:la luycnc, ipusire:la iycnc odokkc lume:pc appvng aima:nc agomcm jc:la luycnc odo. 
MAT.5.12	Mc:polangka odokkc mc:yumsutoka, kapila:nc taycng amo:tc noluk amanc bojcrungko dung. Kapila:nc cdcmv:pc tani:kvdv:dc agom lungorla lunckvdv:dcm ipusire:la ika noluk po:pcbong.
MAT.5.13	“Nolu mo:pvsok allo; cmpige:la alodok ti:namdc yogmvlo kapc odok alo ti:namdcm pa:la:yckun? Cdc atv attar lcga:pcsin aikuma:bong mo:rongolo yoppakpcnamma:mvlo odokkc tani:yc alcki sanggcmpc iyc. 
MAT.5.14	“Nolu mo:pvsok pvangc. Adi: taycngkolo du:nc nogorc lc:sisula:mang. 
MAT.5.15	Cdcmpcmanggom tani:yc saki:ko romnotge:la gempa kcvglo lc:dolang, cdcmang saki: tvgcngko taycngkolo:mvn, odokkc cdc okum appv:dcm pvangcm pvmodag. 
MAT.5.16	Noluk pvangcm tani: kvdv:dok kangkolo pva:motoka, odomvlo bulu noluk ainc agerkvdv:dcm ka:begycpc odokkc taycngamo:tok du:nc noluk Abumc bottaru:nc cmna kumycpc.
MAT.5.17	“Nolu mc:yoka ngo lujvg lurrom odokkc lungorla lunam agom kvdv:dcm la:pakkapc gvdung cmna; ngo cdcmbulum la:pakkapc gvmang cmpige:la buluk lukamdcmpci imopc cmna gvdung. 
MAT.5.18	Kapila:nc aroru:pc, ngo nolum lubidung, taycng amo:tc odokkc mo:pvsc yogpakma:sisscm, i: abvg akosin, lujvglurodokkc lukamdcmpc ingapmma:-sisscm yogma:yc. 
MAT.5.19	Sc:kobvi cdcmpila sc lujvgla lunamkvdv:sok adjio:nc abangkogom tadma:ycnc odokkc tani:kvdv:dcm cdcmv:pc luyirycnc, cdcmv:pc bvm taycngamo:tok migom dungkodo adjiarya:nc cmycku, cmpige:la sc:kobv cdcmbulum luyirycnc taycng amo:tok migom dungkodok bottcru:nc cmna luycku. 
